id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
229,Cindrella Comic,94,4.4,5,1,2000,30180493,0,Offers IAP purchases,opapps,comics,1.0.2
230,Walking Dead 152,13,4.8,5,1,100,19739688,10000,,opapps,comics,1.0.1
231,Walking Dead 151,9,4.8,5,1,100,20619702,0,,opapps,comics,1.0.1
232,Naruto 581-585,15,5,5,1,100,25417021,0,,opapps,comics,1.0.1
233,Naruto 576-580,7,5,5,1,100,26752849,0,,opapps,comics,1.0.1
234,Naruto 566-570,11,5,5,1,100,25554901,0,,opapps,comics,1.0.1
235,Naruto 571-575,5,5,5,1,100,24330422,0,,opapps,comics,1.0.4
236,Naruto 561-565,5,5,5,1,100,25109453,0,,opapps,comics,1.0.1
237,Naruto 556-560,3,5,5,1,100,26545825,0,,opapps,comics,1.0.1
238,Naruto 551-555,6,5,5,1,100,25384695,0,,opapps,comics,1.0.2
239,Naruto 546-550,7,5,5,1,100,26259944,0,,opapps,comics,1.0.4
240,Naruto 541-545,8,4.5,5,1,100,25631369,0,,opapps,comics,1.0.2
241,Naruto 536-540,6,5,5,1,100,24857366,0,,opapps,comics,1.0.1
242,Walking Dead 150,9,4.4,5,1,100,31606651,10000,,opapps,comics,1.0.1
243,Naruto 531-535,7,5,5,1,100,26461620,0,,opapps,comics,1.0.1
244,Naruto 526-530,6,5,5,1,100,24996414,0,,opapps,comics,1.0.1
245,Naruto 521-525,9,5,5,1,100,25132265,0,,opapps,comics,1.0.1
246,Naruto 516-520,5,5,5,1,100,27011930,0,,opapps,comics,1.0.1
247,Naruto 511-515,9,5,5,1,100,25717183,0,,opapps,comics,1.0.1
248,Naruto 506-510,8,5,5,1,100,25402823,0,,opapps,comics,1.0.1
249,Naruto 501-505,17,5,5,1,100,25202115,0,,opapps,comics,1.0.1
250,Walking Dead 149,14,4.4,5,1,100,24682679,0,,opapps,comics,1.0.2
251,Naruto 496-500,17,5,5,1,100,23537646,0,,opapps,comics,1.0.1
252,Naruto 491-495,13,5,5,1,100,24396970,0,,opapps,comics,1.0.1
253,6-10 - Walking Dead,119,4.7,5,1,2000,27220456,10000,,opapps,comics,1.0.6
254,The Advanture of TinTin - The Black,221,4.9,5,1,1000,17538564,20000,,ARLI Software Group,comics,1
255,arrow2,0,0,0,0,100,4739218,0,,mona mousavi,comics,1
256,Captain America5,0,0,0,0,100,6595666,0,,nafise zeinali,comics,1
257,پرسی جکسون و دزد آذرخش 3,0,0,0,0,100,5598361,0,,armin shamloo,comics,1
258,کمیک بتمن جلد 0,0,0,0,0,100,11474920,10000,,amir F,comics,1
259,arrow1,0,0,0,0,100,4865140,0,,mona mousavi,comics,1
260,ماسک 2,1,3,5,1,100,4763918,0,,Pooya mobasher,comics,1
261,کمیک جانگو جلد 1,0,0,0,0,100,5965682,0,,amir F,comics,1
262,پرسی جکسون و دزد آذرخش 2,1,1,5,1,100,5508679,0,,armin shamloo,comics,1
263,deadpool26,0,0,0,0,200,3623602,0,,rimadroid,comics,1
264,Captain America4,0,0,0,0,100,7297704,0,,nafise zeinali,comics,1
265,کمیک فلاش (قسمت ششم),0,0,0,0,100,9863967,0,,Matin Patin,comics,1
266,deadpool25,0,0,0,0,200,3813588,0,,rimadroid,comics,1
267,پرسی جکسون و دزد آذرخش 1,0,0,0,0,100,6987054,0,,armin shamloo,comics,1
268,Captain America3,1,5,5,1,100,6675934,0,,nafise zeinali,comics,1
269,deadpool24,0,0,0,0,200,3789756,0,,rimadroid,comics,1
270,Captain America2,1,5,5,1,200,7317311,0,,nafise zeinali,comics,1
271,کمیک آخرین نفر از ما 4,2,3,5,1,200,6800509,0,,reyhaneh,comics,1
272,ماسک 1,5,4.6,5,1,200,7516681,0,,Pooya mobasher,comics,1
273,لاکپشت های نینجا پیروز میشوند 4,3,2.3,5,1,1000,16422284,0,,sanazdroid,comics,1
274,لاکپشت های نینجا پیروز میشوند 3,3,4.7,5,1,500,9586766,0,,sanazdroid,comics,2
275,کمیک مرد آهنی 3,0,0,0,0,500,4736609,0,,Haleh Noor,comics,1
276,مرگ مرد عنکبوتی 4,2,1,5,1,1000,4518975,0,,parnian hasanzade,comics,1
277,deadpool23,0,0,0,0,200,3303342,0,,rimadroid,comics,1
278,carnage,5,3.4,5,1,200,7652388,0,,sorosh_hgh,comics,1.0.1
279,Pinngle,117,3.4,5,1,50000,32623200,0,Offers IAP purchases,Aragil Online Marketing,communication,1.0.2
280,Instagram,339072,4.1,5,1,14000000,23443750,0,,Instagram,social,10.3.1
281,MSQRD,8407,4.4,5,1,1000000,36092739,0,,msqrd-app,social,1.8.3
282,Papillon SMSBank,169189,4.6,5,1,500000,3143433,0,,papillon,social,4.0.1
283,Like Begir Instagram,93990,4.8,5,1,200000,1297203,0,Offers IAP purchases,andromedaa,social,4.1.2
284,فلگرام (تلگرام فارسی) + روح,62111,4.5,5,1,200000,21040295,0,,radical,social,3.10.1-f4
